i_epi,Horizon,accu_rewards,time_elipse,loss
0,900,357.0,0.16449065605799357,-0.41458800435066223
1,468,0.0,0.4032889246940613,26.689512252807617
2,590,21.0,0.581002406279246,8.434057235717773
3,570,0.0,0.7798558076222738,0.9765751361846924
4,1378,42.0,1.3124975879987082,-0.0008508602040819824
5,883,42.0,1.7747882644335429,0.5698739290237427
6,767,126.0,2.0556978424390158,1.1826988458633423
7,855,189.0,2.3297242442766826,0.9324004054069519
8,515,168.0,2.561611338456472,0.778471827507019
9,836,252.0,2.784437668323517,0.6733142733573914
10,718,189.0,3.0446305751800535,0.5240300297737122
11,1005,315.0,3.342193118731181,0.46704012155532837
12,949,399.0,3.699697422981262,0.4566052258014679
13,607,252.0,3.9636230866114297,0.4378023147583008
14,638,168.0,4.170004733403524,0.37715670466423035
15,734,231.0,4.396675622463226,0.3875429034233093
16,299,105.0,4.568620812892914,0.3766871988773346
17,822,315.0,4.757456374168396,0.36275896430015564
18,418,147.0,4.964926870663961,0.35628655552864075
19,687,231.0,5.146865161259969,0.3506472408771515
20,734,336.0,5.382405471801758,0.3805176615715027
21,792,189.0,5.634452021121978,0.31884750723838806
22,776,189.0,5.895857707659403,0.34067589044570923
23,706,189.0,6.142070599397024,0.36681127548217773
24,855,294.0,6.405106290181478,0.4065326750278473
25,653,189.0,6.659241052468618,0.3993273675441742
26,920,231.0,6.9208183765411375,0.41295626759529114
27,550,168.0,7.1907457629839575,0.4898105561733246
28,743,294.0,7.402769386768341,0.5397692322731018
29,631,168.0,7.647446537017823,0.5507247447967529
30,774,336.0,7.894869879881541,0.6642722487449646
31,644,231.0,8.136307895183563,0.6804551482200623
32,767,189.0,8.370957871278128,0.7002843022346497
33,897,315.0,8.686724583307901,0.7965644598007202
34,972,399.0,9.143691221872965,0.8628563284873962
35,974,273.0,9.586405392487844,0.8408982753753662
36,833,189.0,9.9867994983991,0.820589005947113
37,838,189.0,10.373616115252178,0.822282075881958
38,906,273.0,10.75823278427124,0.8295744061470032
39,795,189.0,11.136816136042277,0.771713376045227
40,635,189.0,11.434482785065969,0.7740442156791687
41,824,189.0,11.714699459075927,0.7050110101699829
42,961,315.0,12.103849458694459,0.7626811861991882
43,695,252.0,12.440849475065868,0.6809490323066711
44,594,189.0,12.660099446773529,0.6978563666343689
45,684,189.0,12.8761994322141,0.6135167479515076
46,718,315.0,13.142366103331248,0.6789431571960449
47,824,189.0,13.424316104253133,0.5741273760795593
48,454,168.0,13.651366118590037,0.647845983505249
49,673,189.0,13.843232782681783,0.6284887194633484
50,679,147.0,14.076749451955159,0.5854487419128418
51,666,210.0,14.302866133054097,0.6203453540802002
52,876,399.0,14.565316100915274,0.6712360978126526
53,741,210.0,14.837249437967936,0.6445570588111877
54,635,189.0,15.072266101837158,0.6279395818710327
55,674,210.0,15.291199497381847,0.6328592300415039
56,627,189.0,15.506532804171245,0.6785924434661865
57,869,294.0,15.756299463907878,0.7005376219749451
58,628,189.0,16.0197994351387,0.6691303849220276
59,630,189.0,16.233516124884286,0.7245563864707947
60,458,147.0,16.419949436187743,0.7050058841705322
61,768,252.0,16.623482767740885,0.7494189143180847
62,586,189.0,16.849399451414744,0.7741709351539612
63,847,273.0,17.10129949649175,0.7336039543151855
64,857,357.0,17.3892679810524,0.7608357667922974
65,737,210.0,17.661467961470287,0.6959457993507385
66,761,336.0,17.912717966238656,0.7860580682754517
67,839,294.0,18.18406794468562,0.7146684527397156
68,628,168.0,18.431101314226787,0.7072664499282837
69,683,189.0,18.64971797068914,0.6908704042434692
70,1151,357.0,18.988801304499308,0.6745350956916809
71,677,294.0,19.346601339181266,0.7293009757995605
72,538,189.0,19.55280129114787,0.6157479286193848
73,810,189.0,19.777751330534617,0.6062078475952148
74,763,231.0,20.044301295280455,0.6679195761680603
75,643,210.0,20.287751313050588,0.6996377110481262
76,741,189.0,20.5169846534729,0.6599621772766113
77,815,189.0,20.780834639072417,0.6775764226913452
78,639,231.0,21.02891798019409,0.7502233982086182
79,477,231.0,21.217034622033438,0.7615777254104614
80,653,210.0,21.408101288477578,0.7840269804000854
81,649,189.0,21.624870347976685,0.7045518755912781
82,735,189.0,21.858620377381644,0.742577314376831
