i_epi,Horizon,accu_rewards,time_elipse,loss
0,430,189.0,0.030749988555908204,6.621308326721191
1,473,105.0,0.17019859552383423,3.502272844314575
2,591,147.0,0.2460652510325114,0.40149396657943726
3,768,189.0,0.3297652800877889,0.21522527933120728
4,730,126.0,0.41551528374354046,0.13342389464378357
5,944,126.0,0.5051819284756979,0.12773722410202026
6,1280,294.0,0.6229819377263387,3.421457529067993
7,1167,147.0,0.7486985961596171,3.29292893409729
8,1287,168.0,0.8705485860506693,9.005256652832031
9,840,189.0,0.9538819630940755,2.4367306232452393
10,2020,399.0,1.153898584842682,0.2294842004776001
11,865,210.0,1.25038191874822,6.478989124298096
12,1154,189.0,1.3623152494430542,8.624927520751953
13,1399,168.0,1.497415312131246,2.6293816566467285
14,1110,294.0,1.6021319270133971,2.309178113937378
15,663,210.0,1.6714486360549927,4.7949419021606445
16,912,336.0,1.762231953938802,4.620938301086426
17,988,147.0,1.8608319322268168,6.174498081207275
18,1024,189.0,1.9666819175084431,0.1931183636188507
19,698,189.0,2.0428819179534914,3.102320909500122
20,1169,357.0,2.159815263748169,2.9656155109405518
21,934,168.0,2.2599819183349608,2.86838960647583
22,782,147.0,2.3455986340840655,0.08638074994087219
23,1078,168.0,2.4688652833302815,2.930260181427002
24,1285,168.0,2.6077985922495523,3.3750667572021484
25,1010,189.0,2.7206082741419473,0.07243810594081879
26,1014,126.0,2.888656997680664,3.383662223815918
27,887,105.0,3.0235822439193725,5.872714042663574
28,804,63.0,3.112448831399282,3.2191526889801025
29,1802,147.0,3.318298880259196,3.171598196029663
30,2738,210.0,3.6297321995099385,0.05926793813705444
31,5027,357.0,4.312098817030589,3.131298303604126
32,1709,126.0,4.513348841667176,5.764834880828857
33,2376,126.0,4.78833216826121,2.858017921447754
34,849,63.0,4.880632181962331,0.31782254576683044
35,746,0.0,4.960082197189331,0.04677069932222366
36,553,84.0,5.022448837757111,0.05722832679748535
37,851,21.0,5.109565492471059,0.04625072330236435
38,479,42.0,5.161432147026062,0.03190501034259796
39,693,105.0,5.2326488375663756,0.037911299616098404
40,1053,126.0,5.3363154848416645,0.03508279100060463
41,780,84.0,5.418065484364828,0.014154965989291668
42,562,21.0,5.478998839855194,3.331239700317383
43,383,63.0,5.523815520604452,0.014721951447427273
44,736,84.0,5.599915500481924,3.3034400939941406
45,469,105.0,5.6516988515853885,0.009009845554828644
46,834,84.0,5.738732182979584,0.007367235608398914
47,829,63.0,5.828615514437358,0.006898784078657627
48,1246,63.0,5.951732170581818,0.0088648097589612
49,888,126.0,6.048148818810781,0.003313148859888315
50,854,105.0,6.136148862044016,0.002871609991416335
51,627,105.0,6.200815482934316,0.004865567199885845
52,893,189.0,6.288732155164083,2.7922492027282715
53,492,168.0,6.342348817984263,3.412376642227173
54,995,231.0,6.440582164128622,3.0306408405303955
55,774,63.0,6.518782182534536,0.05701015889644623
56,1919,189.0,6.71339883406957,0.020051155239343643
57,897,126.0,6.809482165177664,0.015538159757852554
58,723,147.0,6.882698833942413,2.9511706829071045
59,467,63.0,6.933182175954183,6.921849727630615
60,821,105.0,7.014665484428406,0.14797773957252502
61,839,168.0,7.09803215265274,0.0927039161324501
62,1035,147.0,7.199132219950358,2.9979281425476074
63,6197,630.0,7.83538216749827,0.06600962579250336
64,977,231.0,7.936665519078573,3.6827423572540283
65,986,210.0,8.032148830095927,0.1820601522922516
66,928,315.0,8.130582193533579,6.783007621765137
67,1196,105.0,8.263732167085012,3.7649006843566895
68,3556,315.0,8.700332204500834,4.7251787185668945
69,3551,399.0,9.084065520763398,0.11684979498386383
70,218,0.0,9.117315526803335,0.04025144875049591
71,907,126.0,9.205582189559937,3.397296905517578
72,343,21.0,9.24618216753006,3.291107654571533
73,1659,189.0,9.413198860486348,3.2585601806640625
74,799,105.0,9.49858218828837,0.019717063754796982
75,1129,21.0,9.608015489578246,0.018369384109973907
76,941,105.0,9.700498819351196,0.017189694568514824
77,864,63.0,9.786382206281026,0.012485714629292488
78,1423,168.0,9.925848845640818,0.005599212367087603
79,822,42.0,10.008132187525431,3.4163620471954346
80,2081,63.0,10.218415494759878,0.006993912626057863
81,1126,105.0,10.341532150904337,3.3785126209259033
82,1185,189.0,10.471415523687998,3.38162899017334
83,2205,147.0,10.705832187334696,0.021053168922662735
84,2420,189.0,10.955915486812591,0.01281167846173048
85,1869,210.0,11.146965483824411,0.010991260409355164
86,254,0.0,11.182865504423777,3.38081955909729
87,548,63.0,11.23871551354726,3.2903878688812256
88,1076,63.0,11.343015531698862,3.358590841293335
89,541,42.0,11.400532193978627,0.024318622425198555
90,1029,147.0,11.499798846244811,0.010340537875890732
91,669,126.0,11.568282190958659,3.412646532058716
92,464,63.0,11.618598858515421,6.470086097717285
93,1985,168.0,11.818398829301199,0.02273722179234028
94,3478,315.0,12.176882183551788,6.63653564453125
95,2704,294.0,12.465265492598215,0.0159517340362072
96,1661,252.0,12.633032151063283,6.7816057205200195
97,1022,126.0,12.738382196426391,0.02171459048986435
98,4684,420.0,13.221419831116995,0.011289319023489952
99,1045,147.0,13.335269792874653,0.011702709831297398
100,680,63.0,13.408219834168753,0.008456554263830185
101,559,105.0,13.46576980749766,2.9688169956207275
102,1027,84.0,13.566503167152405,0.041619669646024704
103,841,147.0,13.651303152243296,6.752274990081787
104,802,84.0,13.73118651707967,6.249063014984131
105,765,42.0,13.807986466089885,0.038200221955776215
106,2698,168.0,14.08268647591273,0.03081481158733368
107,640,336.0,14.150953141848246,1.4522041082382202
108,719,147.0,14.223469805717468,8.3560791015625
109,981,273.0,14.320869815349578,6.411655902862549
110,1110,105.0,14.439336474736532,3.5432534217834473
111,722,189.0,14.517936476071675,5.979290008544922
112,3685,336.0,14.899286460876464,0.06444147974252701
113,1359,210.0,15.048719799518585,3.450428009033203
114,947,168.0,15.149686519304911,0.035054177045822144
115,868,63.0,15.241519812742869,6.522024154663086
116,841,21.0,15.32780313094457,0.046521008014678955
117,1399,189.0,15.464803155263265,5.874774932861328
118,1226,84.0,15.586436462402343,0.08410568535327911
119,1056,168.0,15.691403130690256,1.3238182067871094
120,1025,168.0,15.792353165149688,3.6814815998077393
121,3429,399.0,16.14853646357854,0.3091569244861603
122,1174,210.0,16.278703157107035,0.17466327548027039
123,1013,168.0,16.390236532688142,2.6031885147094727
124,655,189.0,16.460069831212362,3.2670700550079346
125,598,189.0,16.52481982310613,7.17789888381958
126,710,252.0,16.5979864637057,10.670348167419434
127,994,462.0,16.69505314429601,6.390024662017822
128,810,378.0,16.775303133328755,3.2244293689727783
129,1094,273.0,16.882919824123384,3.2245826721191406
130,1716,420.0,17.058636514345803,4.952793121337891
131,2132,231.0,17.287853129704793,3.533806085586548
132,1415,210.0,17.442203164100647,0.1715349704027176
133,1919,420.0,17.64015313386917,6.165449142456055
134,2372,609.0,17.891019813219707,5.437640190124512
135,823,210.0,17.976753131548563,3.310716390609741
136,545,21.0,18.034736502170563,10.647001266479492
137,288,21.0,18.07108646631241,0.2329111397266388
138,1371,483.0,18.203403131167093,3.7599897384643555
139,792,315.0,18.283186495304108,2.668334722518921
140,1194,189.0,18.40058653354645,25.366607666015625
141,2425,462.0,18.65586982170741,13.755061149597168
142,690,273.0,18.73150315284729,7.783055782318115
143,795,105.0,18.813603130976357,17.034812927246094
144,977,168.0,18.911486502488454,11.806280136108398
145,870,168.0,18.998753150304157,11.223073959350586
146,868,525.0,19.084569795926413,7.478569030761719
147,2380,168.0,19.326853132247926,3.6746068000793457
148,5533,588.0,19.920336465040844,10.820507049560547
149,1587,189.0,20.090119834740957,6.143054962158203
150,1075,168.0,20.202119795481362,4.404286861419678
151,671,252.0,20.27175312836965,12.707290649414062
152,799,357.0,20.351503133773804,13.514189720153809
153,774,273.0,20.429603131612144,11.546167373657227
154,855,84.0,20.515286493301392,12.336322784423828
155,747,63.0,20.590369800726574,5.266044616699219
156,1179,63.0,20.70776982307434,7.0354156494140625
157,748,42.0,20.78918648560842,4.50843620300293
158,6012,357.0,21.42254002491633,1.8097944259643555
159,1333,294.0,21.55830674568812,2.6459720134735107
160,3582,336.0,21.94179004828135,17.232013702392578
161,708,189.0,22.015973381201427,12.675545692443848
162,1397,126.0,22.15354005098343,11.381016731262207
163,438,21.0,22.20424004793167,1.1299872398376465
164,685,357.0,22.275040034453074,8.660709381103516
165,686,315.0,22.345356698830923,3.1347508430480957
166,1462,210.0,22.487356714407603,5.032325744628906
167,2536,525.0,22.759056731065115,7.049041748046875
168,3712,504.0,23.15161524216334,0.6595313549041748
169,3285,546.0,23.526948555310568,6.546659469604492
170,840,420.0,23.631065221627555,6.954051494598389
171,348,147.0,23.675365237394967,6.244701862335205
172,397,42.0,23.721281917889915,3.553149461746216
173,412,63.0,23.76731521685918,7.340431213378906
174,1200,105.0,23.886648575464886,1.520263433456421
175,805,294.0,23.97363191843033,3.6118814945220947
176,961,210.0,24.069881884256997,3.6221890449523926
177,1097,252.0,24.179348560174308,4.603853225708008
178,600,189.0,24.24416522582372,5.919646263122559
179,945,357.0,24.338381878534953,0.9211201071739197
180,932,336.0,24.43101522127787,6.627452850341797
181,3422,357.0,24.78474854628245,0.02456662803888321
182,2182,231.0,25.02211524248123,0.04529465734958649
183,1855,231.0,25.214331912994385,3.470702648162842
184,4159,483.0,25.646298575401307,3.2220358848571777
185,1706,210.0,25.832348569234213,3.304060697555542
186,627,273.0,25.90089855194092,6.372076034545898
187,1274,441.0,26.02794856627782,5.899776935577393
188,963,294.0,26.128698579470317,12.148452758789062
189,671,273.0,26.199181926250457,6.839849472045898
190,1639,462.0,26.368215231100717,0.05723664537072182
191,1935,399.0,26.572948547204337,3.3323631286621094
192,1918,399.0,26.769915211200715,10.052306175231934
193,1690,462.0,26.946898551781974,0.08335793018341064
194,2517,588.0,27.21713192462921,0.04890310764312744
195,2871,682.0,27.522931249936423,3.3442835807800293
196,645,168.0,27.594381256898245,3.4557900428771973
197,2985,441.0,27.913231285413108,6.234259128570557
198,688,168.0,27.984347959359486,8.951550483703613
199,1097,231.0,28.091281270980836,3.406651258468628
200,1145,273.0,28.20384791692098,0.02328253537416458
201,1691,168.0,28.386447950204214,3.4453160762786865
202,3233,651.0,28.729947952429452,3.271418333053589
203,1284,42.0,28.856464608510336,3.2415823936462402
204,645,63.0,28.925914617379508,0.013722782954573631
205,2010,231.0,29.142247919241587,6.3585896492004395
206,4778,672.0,29.642447944482168,3.402517557144165
207,594,168.0,29.705481259028115,2.6470937728881836
208,515,189.0,29.760631291071572,6.34604549407959
209,702,420.0,29.83256462017695,6.204837799072266
210,778,294.0,29.91064795653025,11.212174415588379
211,521,273.0,29.967064611117046,5.438458442687988
212,4508,630.0,30.437197955449424,0.18348821997642517
213,1246,189.0,30.56823125680288,0.04791168123483658
214,4585,567.0,31.045864613850913,3.4976086616516113
215,2300,336.0,31.29051460425059,3.4589221477508545
216,430,42.0,31.34123126268387,6.914304733276367
217,506,21.0,31.395747955640157,3.4589450359344482
218,6208,630.0,32.03713126977285,3.4513213634490967
219,392,0.0,32.08479794661204,3.447291612625122
220,1927,252.0,32.28264792362849,3.4424476623535156
221,1691,126.0,32.46608127355576,0.010541968047618866
222,683,42.0,32.53991461992264,3.5538265705108643
223,2965,357.0,32.84808128674825,3.439009189605713
224,4228,252.0,33.28979219595591,0.004359861835837364
225,941,63.0,33.38552552858989,0.008750144392251968
226,1614,126.0,33.54510887861252,0.00895392894744873
227,2577,252.0,33.81795885960261,0.005853986367583275
228,2816,210.0,34.10967552661896,0.008387619629502296
229,3865,357.0,34.50947552124659,0.007190404459834099
230,3137,210.0,34.8436921954155,3.4390549659729004
231,2446,357.0,35.1050088485082,0.007434862665832043
232,3119,189.0,35.43164221048355,0.010448304936289787
233,682,147.0,35.50792556206385,0.010872486047446728
234,2357,357.0,35.74992552995682,3.44305157661438
235,3181,273.0,36.078142182032266,0.014617395587265491
236,1756,189.0,36.259425548712414,3.438783884048462
237,295,21.0,36.2985588868459,0.009022754617035389
238,2186,189.0,36.522108844916026,3.5279276371002197
239,2689,210.0,36.810275550683336,3.442293167114258
240,1918,63.0,37.00414221684138,0.004247548058629036
241,940,105.0,37.10284221172333,0.008438368327915668
242,686,63.0,37.17740887800853,3.443310260772705
243,4296,399.0,37.625592203934985,0.008497264236211777
244,2092,126.0,37.84377556244532,0.006205652840435505
245,4323,336.0,38.30112551450729,0.010901013389229774
246,5706,567.0,38.95907553037008,0.010724131017923355
247,5799,525.0,39.573375535011294,3.493182897567749
248,432,0.0,39.626142211755116,0.00822212640196085
249,3175,252.0,39.95269219080607,0.010814603418111801
250,2598,168.0,40.23029217720032,3.447176218032837
251,2435,210.0,40.49239219427109,3.4389050006866455
252,1631,126.0,40.665942176183066,3.4395251274108887
253,864,84.0,40.75359219312668,0.008595965802669525
254,4011,420.0,41.166908860206604,0.012580490671098232
255,2401,273.0,41.428025511900586,0.008763222955167294
256,2537,231.0,41.69137551387151,0.010794218629598618
257,7690,630.0,42.50189219315847,0.013107022270560265
258,5171,462.0,43.04554992516835,0.009081043303012848
259,684,0.0,43.119249896208444,0.007651889696717262
